GBS name (Sample:Flowcell:Lane:Well),Additional file 1.xlsx (Romay et al. 2013),Inbred name,Source,Accession,Seed lot,Notes
12E:81FE8ABXX:4:H8,12E,12E,Edwards,12E,,
3167B:81FE8ABXX:7:F8,3167B,3167B,Edwards,3167B,,
33-16:627C3AAXX:5:H8,33-16,3316,Goodman,3316,,Maize Association Panel (282)
33-16:8042MABXX:2:H8,33-16,3316,Goodman,3316,,Maize Association Panel (282)
38-11:627C3AAXX:6:B10,Nov-38,3811,Goodman,3811,,Maize Association Panel (282)
38-11:8042MABXX:3:B10,Nov-38,3811,Goodman,3811,,Maize Association Panel (282)
4226:627C3AAXX:6:A12,4226,4226,Goodman,4226,,Maize Association Panel (282)
4226:8042MABXX:3:A12,4226,4226,Goodman,4226,,Maize Association Panel (282)
4722:627C3AAXX:7:H4,4722,4722,Goodman,4722,,Maize Association Panel (282)
4722:8042MABXX:4:H4,4722,4722,Goodman,4722,,Maize Association Panel (282)
A131:81FENABXX:7:D4,A131,A131,Holland,A131,,
A131(Holland):D0D0BACXX:3:G5,not included,A131,Holland,A131,10371,
A188:627C3AAXX:6:D3,A188,A188,Goodman,A188,,Maize Association Panel (282)
A188:8042MABXX:3:D3,A188,A188,Goodman,A188,,Maize Association Panel (282)
A214N:627C3AAXX:6:E11,A214N,A214N,Goodman,A214N,,Maize Association Panel (282)
A214N:8042MABXX:3:E11,A214N,A214N,Goodman,A214N,,Maize Association Panel (282)
A239:627C3AAXX:5:B2,A239,A239,Goodman,A239,,Maize Association Panel (282)
A239:8042MABXX:2:B2,A239,A239,Goodman,A239,,Maize Association Panel (282)
A272:627C3AAXX:5:B5,A272,A272,Goodman,A272,,Maize Association Panel (282)
A272:8042MABXX:2:B5,A272,A272,Goodman,A272,,Maize Association Panel (282)
A3G-3-1-3:81FE8ABXX:4:E10,A3G-3-1-3,A3G-3-1-3,Edwards,A3G-3-1-3,,
A441-5:627C3AAXX:6:C4,A441-5,A4415,Goodman,A4415,,Maize Association Panel (282)
A441-5:8042MABXX:3:C4,A441-5,A4415,Goodman,A4415,,Maize Association Panel (282)
A554:627C3AAXX:5:C6,A554,A554,Goodman,A554,,Maize Association Panel (282)
A554:8042MABXX:2:C6,A554,A554,Goodman,A554,,Maize Association Panel (282)
A556:627C3AAXX:7:C8,A556,A556,Goodman,A556,,Maize Association Panel (282)
A556:8042MABXX:4:C8,A556,A556,Goodman,A556,,Maize Association Panel (282)
A6:627C3AAXX:6:C5,A6,A6,Goodman,A6,,Maize Association Panel (282)
A6:8042MABXX:3:C5,A6,A6,Goodman,A6,,Maize Association Panel (282)
A619:627C3AAXX:5:D3,A619,A619,Goodman,A619,,Maize Association Panel (282)
A619:8042MABXX:2:D3,A619,A619,Goodman,A619,,Maize Association Panel (282)
A632:627C3AAXX:5:F4,A632,A632,Goodman,A632,,Maize Association Panel (282)
A632:8042MABXX:2:F4,A632,A632,Goodman,A632,,Maize Association Panel (282)
A634:627C3AAXX:7:C1,A634,A634,Goodman,A634,,Maize Association Panel (282)
A634:8042MABXX:4:C1,A634,A634,Goodman,A634,,Maize Association Panel (282)
A635:627C3AAXX:7:H9,A635,A635,Goodman,A635,,Maize Association Panel (282)
A635:8042MABXX:4:H9,A635,A635,Goodman,A635,,Maize Association Panel (282)
A641:627C3AAXX:6:G6,A641,A641,Goodman,A641,,Maize Association Panel (282)
A641:8042MABXX:3:G6,A641,A641,Goodman,A641,,Maize Association Panel (282)
A654:627C3AAXX:5:A12,A654,A654,Goodman,A654,,Maize Association Panel (282)
A654:8042MABXX:2:A12,A654,A654,Goodman,A654,,Maize Association Panel (282)
A659:627C3AAXX:5:D11,A659,A659,Goodman,A659,,Maize Association Panel (282)
A659:8042MABXX:2:D11,A659,A659,Goodman,A659,,Maize Association Panel (282)
A661:627C3AAXX:7:G3,A661,A661,Goodman,A661,,Maize Association Panel (282)
A661:8042MABXX:4:G3,A661,A661,Goodman,A661,,Maize Association Panel (282)
A679:627C3AAXX:6:B1,A679,A679,Goodman,A679,,Maize Association Panel (282)
A679:8042MABXX:3:B1,A679,A679,Goodman,A679,,Maize Association Panel (282)
A680:627C3AAXX:5:C2,A680,A680,Goodman,A680,,Maize Association Panel (282)
A680:8042MABXX:2:C2,A680,A680,Goodman,A680,,Maize Association Panel (282)
A682:627C3AAXX:5:E5,A682,A682,Goodman,A682,,Maize Association Panel (282)
A682:8042MABXX:2:E5,A682,A682,Goodman,A682,,Maize Association Panel (282)
Ab18:81FENABXX:5:C2,not included,Ab18,Krakowksy,Ab18,,
Ab24E:81FENABXX:4:A8,Ab24E,Ab24E,Warburton,Ab24E,,
Ab26A:81FE7ABXX:2:G1,not included,Ab26A,Krakowksy,Ab26A,,
Ab28A:627C3AAXX:7:A5,Ab28A,Ab28A,Goodman,Ab28A,,Maize Association Panel (282)
Ab28A:8042MABXX:4:A5,Ab28A,Ab28A,Goodman,Ab28A,,Maize Association Panel (282)
Ab608A:81FENABXX:4:B12,Ab608A,Ab608A,Krakowksy,Ab608A,,
