"","GBS.name..Sample.Flowcell.Lane.Well.","Inbred.Line","Accession","Year.Rel","P1A","P2A","Ped_line","Pop.structure"
"1","Ames2338:81N4HABXX:7:B8","(Twan x Tzuh)-S6",NA,NA,NA,NA,NA,NA
"2","PI601558:81FENABXX:3:B6","11430","PI601558",1,"12LINE_LANCASTER_SYN","12LINE_LANCASTER_SYN","","unclassified"
"3","PI601558:81FENABXX:3:B6","11430","",NA,"12LINE_LANCASTER_SYN","12LINE_LANCASTER_SYN","",""
"4","12E:81FE8ABXX:4:H8","12E",NA,NA,NA,NA,NA,NA
"5","PI358522:81FENABXX:5:F8","13B-587-68(A)",NA,NA,NA,NA,NA,NA
"6","Ames29448:D0D0BACXX:4:A6","1416-1","Ames29448",0,"155 x 105.306","B73Ht/Mo17Ht","","unclassified"
"7","Ames29394:81FENABXX:5:A6","1497-2","Ames29394",0,"105.101 x 306.5","B73Ht/Mo17Ht","","unclassified"
"8","PI358523:81FE8ABXX:6:F10","14H-588-68(B)",NA,NA,NA,NA,NA,NA
"9","PI601658:D0D0BACXX:3:C5","1538","PI601658",0,"Pioneer 3901","MinnesotaSynthetic3 ","","unclassified"
"10","PI233313:81FENABXX:6:D11","176","PI233313",0,"GoldenSunshine","GoldenSunshine","","Ysweet corn"
"11","PI358526:81FENABXX:3:E3","197A-381-68(A)",NA,NA,NA,NA,NA,NA
"12","PI267166:81FENABXX:6:D4","2 KM 368 INBRED",NA,NA,NA,NA,NA,NA
"13","PI601005:81FE8ABXX:3:E9","207",NA,NA,NA,NA,NA,NA
"14","PI601005:D0D0BACXX:3:E6","207",NA,NA,NA,NA,NA,NA
"15","PI358535:81FE8ABXX:6:E12","21-396-68(B)",NA,NA,NA,NA,NA,NA
"16","PI233314:81FENABXX:6:H5","226","PI233314",0,"GoldenMarket","GoldenMarket","","Ysweet corn"
"17","PI233314:C07W2ACXX:1:H5","226","PI233314",0,"GoldenMarket","GoldenMarket","","Ysweet corn"
"18","PI233314:C07W2ACXX:2:H5","226","PI233314",0,"GoldenMarket","GoldenMarket","","Ysweet corn"
"19","PI233314:D0D0BACXX:1:H5","226","PI233314",0,"GoldenMarket","GoldenMarket","","Ysweet corn"
"20","PI233314:D0D7RACXX:1:H5","226","PI233314",0,"GoldenMarket","GoldenMarket","","Ysweet corn"
"21","PI233314:D0D7RACXX:2:H5","226","PI233314",0,"GoldenMarket","GoldenMarket","","Ysweet corn"
"22","PI601559:81FE8ABXX:1:B6","2369","PI601559",0,"2369_1","B73","MDA-28","stiff stalk"
