,name,key,datasetKey,publishingOrgKey,publishingCountry,protocol,basisOfRecord,taxonKey,speciesKey,scientificName,taxonRank,dateIdentified,decimalLongitude,decimalLatitude,year,month,day,eventDate,issues,modified,lastInterpreted,references,geodeticDatum,countryCode,country,verbatimEventDate,collectionCode,gbifID,institutionCode,datasetName,catalogNumber,recordedBy,eventTime,identifier,identificationID,locality,coordinateAccuracy,elevation,elevationAccuracy,depth,depthAccuracy,stateProvince,county,identifiedBy,continent,habitat,samplingProtocol,municipality,occurrenceRemarks
2665,Zea mays,888979597,5df38344-b821-49c2-8174-cf0f29f4df0d,bc092ff0-02e4-11dc-991f-b8a03c50a862,US,DWC_ARCHIVE,UNKNOWN,5290052,5290052,Zea mays L.,SPECIES,NA,NA,NA,1932,1,6,1932-01-05T23:00:00.000+0000,none,NA,2014-06-05T19:51:44.540+0000,NA,NA,AS,American Samoa,NA,Botany,888979597,US,NA,1611153.112,E. Christophersen,NA,1611153.112,NA,Pago Pago,NA,2,NA,NA,NA,Tutuila,NA,NA,NA,NA,NA,NA,NA
2759,Zea mays,995163551,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,47e00926-5a2f-44e8-8509-139a689c8b4d,AU,DWC_ARCHIVE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,NA,NA,NA,1890,6,1,1890-05-31T23:00:00.000+0000,none,NA,2014-08-19T11:16:04.026+0000,NA,NA,AU,Australia,NA,MEL,995163551,MEL,NA,MEL 2074382A,"Weindorfer, G.",NA,f11a2cfb-223f-48d4-81ff-3d337d1947e2,NA,Cultivated.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used for illustration of Horticultural Flora of SE Australia.
2708,Zea mays,995397610,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,47e00926-5a2f-44e8-8509-139a689c8b4d,AU,DWC_ARCHIVE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,NA,147.3167,-42.9167,1910,1,1,1909-12-31T23:00:00.000+0000,GEODETIC_DATUM_ASSUMED_WGS84,NA,2014-08-19T11:30:02.515+0000,NA,WGS84,AU,Australia,NA,MEL,995397610,MEL,NA,MEL 2310690A,"Black, R.A.",NA,ed5ffd2c-cf33-466d-a545-e7562f1f8485,NA,Sandy Bay.,NA,NA,NA,NA,NA,Tasmania,Tasmanian South East,NA,NA,NA,NA,NA,Ex Herb. R.A. Black 1270.320 (1).
2707,Zea mays,995397618,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,47e00926-5a2f-44e8-8509-139a689c8b4d,AU,DWC_ARCHIVE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,NA,147.3167,-42.9167,1910,1,1,1909-12-31T23:00:00.000+0000,GEODETIC_DATUM_ASSUMED_WGS84,NA,2014-08-19T11:30:02.328+0000,NA,WGS84,AU,Australia,NA,MEL,995397618,MEL,NA,MEL 2310691A,"Black, R.A.",NA,ebfd77c6-9350-47dd-8ea1-b98fded5d3e7,NA,Sandy Bay.,NA,NA,NA,NA,NA,Tasmania,Tasmanian South East,NA,NA,NA,NA,NA,Ex Herb. R.A. Black 1270.320 (2).
2699,Zea mays,995590908,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,47e00926-5a2f-44e8-8509-139a689c8b4d,AU,DWC_ARCHIVE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,1984-12-31T23:00:00.000+0000,152.97,-31.28,1914,2,1,1914-01-31T23:00:00.000+0000,GEODETIC_DATUM_ASSUMED_WGS84,NA,2014-08-19T11:43:09.474+0000,NA,WGS84,AU,Australia,NA,NSW,995590908,NSW,NA,NSW 152977,"Vincent, G. R.",NA,236e50bc-ef16-49db-8557-3b794b507a7a,NA,Green Point near Gosford,NA,NA,NA,NA,NA,NA,NA,"Simon, B. K.",NA,NA,NA,NA,Shwing both male and female flowers on the same rachis.
2701,Zea mays,995590884,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,47e00926-5a2f-44e8-8509-139a689c8b4d,AU,DWC_ARCHIVE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,1984-12-31T23:00:00.000+0000,152.93,-29.68,1914,3,1,1914-02-28T23:00:00.000+0000,GEODETIC_DATUM_ASSUMED_WGS84,NA,2014-08-19T11:43:07.863+0000,NA,WGS84,AU,Australia,NA,NSW,995590884,NSW,NA,NSW 152976,"Wenholz, H.",NA,08cb5681-f381-4785-b931-769274e61cb7,NA,Grafton,NA,NA,NA,NA,NA,NA,NA,"Simon, B. K.",NA,NA,NA,NA,Atrophy 445; 1793/14
2703,Zea mays,995590927,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,47e00926-5a2f-44e8-8509-139a689c8b4d,AU,DWC_ARCHIVE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,1984-12-31T23:00:00.000+0000,151.1,-33.7,1914,4,1,1914-03-31T23:00:00.000+0000,GEODETIC_DATUM_ASSUMED_WGS84,NA,2014-08-19T11:43:08.103+0000,NA,WGS84,AU,Australia,NA,NSW,995590927,NSW,NA,NSW 152978,"Blakely, W. F.",NA,3684c755-8053-49f1-bf40-c11fd09ce568,NA,"Galston Road, Hornsby.",NA,NA,NA,NA,NA,NA,NA,"Simon, B. K.",NA,NA,NA,NA,NA
2625,Zea mays,994136101,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,47e00926-5a2f-44e8-8509-139a689c8b4d,AU,DWC_ARCHIVE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,NA,145.75,-16.9333,1937,4,8,1937-04-07T23:00:00.000+0000,"GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_COORDINATE_MISMATCH",NA,2014-08-19T09:53:36.029+0000,NA,WGS84,AU,Australia,NA,QRS,994136101,CNS,NA,QRS 46450.1,"Flecker, H.",NA,19d9cd08-7f2d-4b6c-a650-5d669209dd36,NA,"Footpath in front of 88 Abbott Street, Cairns",NA,10,NA,NA,NA,Queensland,NA,NA,NA,NA,NA,NA,NA
2569,Zea mays,98841927,853006c0-f762-11e1-a439-00145eb45e9a,c4254a00-cb2b-11d8-bf68-b8a03c50a862,AU,DIGIR,UNKNOWN,5290052,5290052,Zea mays L.,SPECIES,NA,147,-35.6,1949,2,15,1949-02-14T23:00:00.000+0000,GEODETIC_DATUM_ASSUMED_WGS84,NA,2014-06-04T23:19:42.326+0000,NA,WGS84,AU,Australia,NA,NSW,98841927,NSW,NA,152974,NA,NA,NA,NA,Culcairn Railway Station.,NA,NA,NA,NA,NA,Nsw,South Western Slopes,NA,NA,NA,NA,NA,NA
2506,Zea mays,995471455,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,47e00926-5a2f-44e8-8509-139a689c8b4d,AU,DWC_ARCHIVE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,1960-03-17T23:00:00.000+0000,151.65,-30.5,1960,3,18,1960-03-17T23:00:00.000+0000,GEODETIC_DATUM_ASSUMED_WGS84,NA,2014-08-19T11:35:15.743+0000,NA,WGS84,AU,Australia,NA,NE,995471455,NE,NA,NE 25146,"Roberts, M.",NA,8b64eb7a-a6a1-4677-8a18-ec4639b4436b,NA,"Armidale, University of New England grounds",NA,NA,NA,NA,NA,NA,NA,"Roberts, M.",NA,NA,NA,NA,"One clump, probably escapee from cultivation. One plant - 2 sheets"
2507,Zea mays,995471470,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,47e00926-5a2f-44e8-8509-139a689c8b4d,AU,DWC_ARCHIVE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,1960-03-17T23:00:00.000+0000,151.65,-30.5,1960,3,18,1960-03-17T23:00:00.000+0000,GEODETIC_DATUM_ASSUMED_WGS84,NA,2014-08-19T11:35:15.938+0000,NA,WGS84,AU,Australia,NA,NE,995471470,NE,NA,NE 25147,"Roberts, M.",NA,511cb2e8-2721-4f41-abd8-c32c114f4a0c,NA,"University grounds, Armidale",NA,NA,NA,NA,NA,NA,NA,"Roberts, M.",NA,NA,NA,NA,"One clump, probably escapee from cultivation. One plant - 2 sheets"
2463,Zea mays,994465673,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,47e00926-5a2f-44e8-8509-139a689c8b4d,AU,DWC_ARCHIVE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,NA,147.1510194,-41.43194007,1965,5,6,1965-05-05T23:00:00.000+0000,COORDINATE_REPROJECTED,NA,2014-08-19T10:22:05.076+0000,NA,WGS84,AU,Australia,NA,HO,994465673,HO,NA,HO 28288,"Rowe, B.A.",NA,f372ef3a-990a-4b59-98f9-1656a6ec1d50,NA,Launceston,NA,NA,NA,NA,NA,Tasmania (cultivated),NA,NA,NA,NA,NA,NA,NA
2427,Zea mays,98841928,853006c0-f762-11e1-a439-00145eb45e9a,c4254a00-cb2b-11d8-bf68-b8a03c50a862,AU,DIGIR,UNKNOWN,5290052,5290052,Zea mays L.,SPECIES,NA,150.7,-33.9,1968,6,1,1968-05-31T23:00:00.000+0000,GEODETIC_DATUM_ASSUMED_WGS84,NA,2014-06-04T23:19:42.404+0000,NA,WGS84,AU,Australia,NA,NSW,98841928,NSW,NA,152975,NA,NA,NA,NA,"Rubbish Tip, Narellan.",NA,NA,NA,NA,NA,Nsw,Central Coast,NA,NA,NA,NA,NA,NA
2426,Zea mays,995590859,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,47e00926-5a2f-44e8-8509-139a689c8b4d,AU,DWC_ARCHIVE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,1984-12-31T23:00:00.000+0000,150.72,-34.02,1968,6,1,1968-05-31T23:00:00.000+0000,GEODETIC_DATUM_ASSUMED_WGS84,NA,2014-08-19T11:43:07.008+0000,NA,WGS84,AU,Australia,NA,NSW,995590859,NSW,NA,NSW 152975,"McBarron, E. J.",NA,96244a94-bf3c-4d28-91ef-ce5798582cee,NA,"Rubbish Tip, Narellan.",NA,NA,NA,NA,NA,NA,NA,"Simon, B. K.",NA,NA,NA,NA,"Red and green variegated leaves, to 5 feet high."
2333,Zea mays,98841932,853006c0-f762-11e1-a439-00145eb45e9a,c4254a00-cb2b-11d8-bf68-b8a03c50a862,AU,DIGIR,UNKNOWN,5290052,5290052,Zea mays L.,SPECIES,NA,153.6,-28.2,1975,4,2,1975-04-01T23:00:00.000+0000,GEODETIC_DATUM_ASSUMED_WGS84,NA,2014-06-04T23:19:40.731+0000,NA,WGS84,AU,Australia,NA,NSW,98841932,NSW,NA,152979,NA,NA,NA,NA,Cudgen.,NA,NA,NA,NA,NA,Nsw,North Coast,NA,NA,NA,NA,NA,NA
2334,Zea mays,995590954,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,47e00926-5a2f-44e8-8509-139a689c8b4d,AU,DWC_ARCHIVE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,1984-12-31T23:00:00.000+0000,153.55,-28.27,1975,4,2,1975-04-01T23:00:00.000+0000,GEODETIC_DATUM_ASSUMED_WGS84,NA,2014-08-19T11:43:08.133+0000,NA,WGS84,AU,Australia,NA,NSW,995590954,NSW,NA,NSW 152979,"Shields, K.",NA,bfab554d-e63f-488f-885f-cb271a817737,NA,Cudgen.,NA,NA,NA,NA,NA,NA,NA,"Simon, B. K.",NA,NA,NA,NA,Approx 1 m
