"","GBS.name..Sample.Flowcell.Lane.Well.","Additional.file.1.xlsx..Romay.et.al..2013.","Inbred.name","Source","Accession","Seed.lot","Notes","Seq","Inbred.Line","Breeding.program","Pop.structure","Year.Rel","P1A","P2A","eraA","GroupA","TypeA","SourceA","X","X.1","X.2","X.3","Ped_line"
"1",NA,NA,NA,NA,"",NA,NA,1,"EarlyYellowDent","","landraces",0,"0","0",0,0,"Open Pollinated Variety","0","",NA,NA,NA,"A3G-3-3-1-313)-01"
"2",NA,NA,NA,NA,"",NA,NA,2,"MinnesotaNo13","","landraces",0,"0","0",0,0,"Open Pollinated Variety","0","",NA,NA,NA,"A9"
"3",NA,NA,NA,NA,"",NA,NA,3,"Funk90Day","","landraces",0,"0","0",0,0,"Open Pollinated Variety","0","",NA,NA,NA,"A26"
"4",NA,NA,NA,NA,"",NA,NA,4,"FunkYellowDent","","landraces",0,"0","0",0,0,"Open Pollinated Variety","0","",NA,NA,NA,"A50"
"5",NA,NA,NA,NA,"",NA,NA,6,"NorthwesternDent ","","landraces",0,"0","0",0,0,"Open Pollinated Variety","0","",NA,NA,NA,"A109"
"6",NA,NA,NA,NA,"",NA,NA,8,"SilverKing","","landraces",0,"0","0",0,0,"Open Pollinated Variety","0","",NA,NA,NA,"A78"
"7",NA,NA,NA,NA,"",NA,NA,12,"GoldenKing(McArthur)","","landraces",1,"0","0",0,0,"Open Pollinated Variety","0","",NA,NA,NA,"WisconsinNo25"
"8",NA,NA,NA,NA,"",NA,NA,22,"WisconsinNo25","","landraces",0,"0","0",0,0,"Open Pollinated Variety","0","",NA,NA,NA,""
"9",NA,NA,NA,NA,"",NA,NA,46,"MinnesotaSynthetic3 ","","landraces",0,"0","0",0,0,"0","0","",NA,NA,NA,"A554_1"
"10",NA,NA,NA,NA,"",NA,NA,47,"MinnesotaSyntheticAS_A ","","landraces",0,"0","0",0,0,"Early maturity Minn synthetic pop","0","",NA,NA,NA,"A2 "
"11",NA,NA,NA,NA,"",NA,NA,51,"FUNK176A","","landraces",0,"0","0",0,0,"Open Pollinated Variety","0","",NA,NA,NA,"C23"
"12",NA,NA,NA,NA,"",NA,NA,53,"ARMELSREIDYELLOWDENT","","landraces",0,"0","0",0,99,"Open Pollinated Variety","0","",NA,NA,NA,"A237_1"
"13",NA,NA,NA,NA,"",NA,NA,78,"Midland","","landraces",0,"0","0",0,0,"Open Pollinated Variety","0","",NA,NA,NA,"A237"
"14",NA,NA,NA,NA,"",NA,NA,81,"TEXASSURECROPPER","","landraces",0,"0","0",0,0,"Open Pollinated Variety","0","",NA,NA,NA,"B164-886"
"15",NA,NA,NA,NA,"",NA,NA,87,"FourCountyWhite","","landraces",0,"0","0",0,0,"Open Pollinated Variety","0","",NA,NA,NA,"A619_1"
"16",NA,NA,NA,NA,"",NA,NA,90,"BlacksYellowDent","","landraces",0,"0","0",0,3,"Open Pollinated Variety","0","",NA,NA,NA,"BSSS "
"17",NA,NA,NA,NA,"",NA,NA,92,"BloodyButcher(RectorStrain)","","landraces",0,"0","0",3,5,"Open Pollinated Variety","0","",NA,NA,NA,"A632_1"
"18",NA,NA,NA,NA,"",NA,NA,93,"BooneCountyWhite","","landraces",0,"0","0",0,5,"Open Pollinated Variety","0","",NA,NA,NA,"A632_2"
"19",NA,NA,NA,NA,"",NA,NA,94,"ButlerCountyWhite","","landraces",0,"0","0",0,5,"Open Pollinated Variety","0","",NA,NA,NA,""
"20",NA,NA,NA,NA,"",NA,NA,95,"ButlerCountyYellow","","landraces",0,"0","0",1,1,"Open Pollinated Variety","0","",NA,NA,NA,"A632_2S"
"21",NA,NA,NA,NA,"",NA,NA,103,"CrawfordCountyChief","","landraces",0,"0","0",0,0,"Open Pollinated Variety","0","",NA,NA,NA,"ND302 "
"22",NA,NA,NA,NA,"",NA,NA,129,"FRMO17","","landraces",0,"MO17","Unknown",0,0,"INBRED  ILL FOUNDATION SEED VERSION OF MO17","0","",NA,NA,NA,"A635_1"
"23",NA,NA,NA,NA,"",NA,NA,131,"EarlyButler","","landraces",0,"0","0",0,3,"Open Pollinated Variety","0","",NA,NA,NA,"A635_2"
"24",NA,NA,NA,NA,"",NA,NA,132,"EichelburgerClarage","","landraces",0,"0","0",1,1,"Open Pollinated Variety","0","",NA,NA,NA,""
"25",NA,NA,NA,NA,"",NA,NA,133,"LACAUNE","","landraces",0,"0","0",0,0,"OP  FRENCH FLINT","0","",NA,NA,NA,"W185"
"26",NA,NA,NA,NA,"",NA,NA,138,"GoldenGlow","","landraces",0,"0","0",0,2,"Open Pollinated Variety","0","",NA,NA,NA,"V3"
"27",NA,NA,NA,NA,"",NA,NA,144,"FunksYellowDent","","landraces",0,"0","0",1,1,"Open Pollinated Variety","0","",NA,NA,NA,"A638_1"
"28",NA,NA,NA,NA,"",NA,NA,148,"GaspeFlint","","landraces",0,"0","0",0,2,"Open Pollinated Variety","0","",NA,NA,NA,"A638_2"
"29",NA,NA,NA,NA,"",NA,NA,149,"GoldenGlow(Smithersstrain)","","landraces",0,"0","0",0,3,"Open Pollinated Variety","0","",NA,NA,NA,"A632_1S"
"30",NA,NA,NA,NA,"",NA,NA,150,"GoldenKing","","landraces",0,"0","0",0,5,"Open Pollinated Variety","0","",NA,NA,NA,"MinnesotaSynthetic3 "
"31",NA,NA,NA,NA,"",NA,NA,151,"GourdseedDent","","landraces",0,"0","0",2,4,"Open Pollinated Variety","0","",NA,NA,NA,"MinnesotaSyntheticAS_A "
"32",NA,NA,NA,NA,"",NA,NA,152,"HastingsYellowProlific","","landraces",0,"0","0",0,3,"Open Pollinated Variety","0","",NA,NA,NA,"AR9"
"33",NA,NA,NA,NA,"",NA,NA,159,"Tuxpan","","landraces",0,"0","0",0,0,"Open Pollinated Variety","0","",NA,NA,NA,"G3"
"34",NA,NA,NA,NA,"",NA,NA,174,"HaysGolden","","landraces",0,"0","0",3,10,"Open Pollinated Variety","0","",NA,NA,NA,"A39"
"35",NA,NA,NA,NA,"",NA,NA,183,"ImprovedLeaming","","landraces",0,"0","0",3,8,"Open Pollinated Variety","0","",NA,NA,NA,"FUNK176A"
"36",NA,NA,NA,NA,"",NA,NA,186,"Jarvis","","landraces",0,"0","0",0,5,"Open Pollinated Variety","0","",NA,NA,NA,"AR4"
"37",NA,NA,NA,NA,"",NA,NA,187,"JarvisGoldenProlific","","landraces",0,"0","0",0,5,"Open Pollinated Variety","0","",NA,NA,NA,"ARMELSREIDYELLOWDENT"
"38",NA,NA,NA,NA,"",NA,NA,188,"Jellicorse","","landraces",0,"0","0",0,5,"Open Pollinated Variety","0","",NA,NA,NA,"ASSINIBOINE"
