"","taxon","genus","species","spauthor","subtaxa","subtauthor","cropname","avail","instcode","accenumb","acckey","collnumb","collcode","taxno","accename","acqdate","origcty","collsite","latitude","longitude","elevation","colldate","bredcode","sampstat","ancest","collsrc","donorcode","donornumb","othernumb","duplsite","storage","latdec","longdec","remarks","history","released","Accesion.N","references","paper","date","Inbred.line","N.GBS.samples","N.Plants","Avg..IBS","X..missing","Breeding.program","Pop.structure","Year","Registration.","Source"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A131","","","na","A131",1,1,NA,0.63,"Other","unclassified",NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ab18","","","","Ab18",1,1,NA,0.89,"Other","unclassified",NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ab26A","","","","AB26A",1,1,NA,0.86,"Other","unclassified",NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ab608A","","","","Ab608A",2,2,0.979,0.53,"Other","unclassified",NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ames 27136","Accession was donated. 21-Apr-2003. North Carolina, United States. Goodman, M., North Carolina State University.","n","2003","MoG",3,2,0.998,0.54,"Missouri","unclassified",NA,NA,NA
"6","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10244",1052052,"",NA,311987,"Ab26","19890327","","","","",NA,"",NA,400,"GT175 x F6",40,NA,"",":Ab26;USA126:Ames 10244","","10",NA,NA,"Inbred from selfing GT175 X F6.  Maturity similar to F6. Excellent stalk and roots.  Prolific.  Small ears.  Has been rather unstable resulting in several sub-lines.  Mostly good combining.","DEVELOPED   Alabama, United States by Alabama Agric. Exp. Station. DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10244","","","","Ab26",1,1,NA,0.56,"Other","unclassified",NA,NA,NA
"7","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10247",1052065,"",NA,311987,"GA152","19890327","","","","",NA,"",NA,400,"T369 x CI21",40,NA,"",":GA152;USA126:Ames 10247","","10",NA,NA,"Inbred from T369 x CI21.  Yellow.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Athens). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10247","","","","GA152",1,1,NA,0.63,"Other","unclassified",NA,NA,NA
"8","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10248",1052068,"",NA,311987,"GA209","19890327","","","","",NA,"",NA,400,"T61 x NC37",40,NA,"",":GA209;USA126:Ames 10248;:578-3/99","USA005","10",NA,NA,"Inbred from t61 x NC37.  White dent line of corn with good combining ability.  Developed by hybridizing, selecting and selfing T61 x NC37 in the pedigree method. Medium maturity. 77 days to pollination.  Good seed producer along with excellent grain quality.  Lodging resistance, white cob.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Athens). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","1972","Ames10248","","","","GA209",3,2,0.997,0.52,"Other","unclassified",NA,NA,NA
"9","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10249",1052073,"",NA,311987,"GA212","19890327","","","","",NA,"",NA,400,"NC67 x GA199",40,NA,"",":GA212;USA126:Ames 10249","","10",NA,NA,"Inbred.  Yellow.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Athens). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10249","","","","GA212",1,1,NA,0.55,"Other","unclassified",NA,NA,NA
"10","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10250",1052076,"",NA,311987,"GA215","19890327","","","","",NA,"",NA,400,"T61 x NC37",40,NA,"",":GA215;USA126:Ames 10250","","10",NA,NA,"Inbred from T61 x NC37. Seed is a white dent with pink-red cob.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Athens). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10250","","","","GA215",1,1,NA,0.5,"Other","unclassified",NA,NA,NA
