Seq,Inbred Line,Accesion N,accenumb,Breeding program,Pop structure,Year Rel,P1A,P2A,eraA,GroupA,TypeA,SourceA,,,,,Ped_line
1000,Ab26,Ames10244,Ames 10244,Other,unclassified,0,GT175,F6,0,0,INBRED, ,,,,,GoldenKing(McArthur)
1934,GA152,Ames10247,Ames 10247,Other,unclassified,0,T369,CI21,0,0,0,0,,,,,US153(Iowa)
1938,GA209,Ames10248,Ames 10248,Other,unclassified,0,T61,NC37,0,0,INBRED, ,,,,,A48
1941,GA212,Ames10249,Ames 10249,Other,unclassified,0,NC67,GA199,0,0,INBRED,0,,,,,ReidYellowDent
1942,GA215,Ames10250,Ames 10250,Other,unclassified,0,NC67,GA199,0,0,INBRED,0,,,,,A3G-3-3-1-313)-01
1944,GA219,Ames10251,Ames 10251,Other,unclassified,0,MosbyOP,0,0,0,INBRED,0,,,,,A9
1947,GA222,Ames10252,Ames 10252,Other,unclassified,0,FunksG-714A,0,0,0,INBRED,Open pollinated ear of Funks G714A(Hybrid),,,,,A26
1952,GE19,Ames10253,Ames 10253,Other,unclassified,0,,0,0,0,INBRED,0,,,,,A50
1961,GE54,Ames10254,Ames 10254,Other,unclassified,0,GoodGolden,0,0,0,0,0,,,,,A109
1962,GE72,Ames10255,Ames 10255,Other,unclassified,0,0,0,0,0,0,0,,,,,A78
1949,GE129,Ames10256,Ames 10256,Other,unclassified,0,NealPaymaster,0,0,0,INBRED,0,,,,,WisconsinNo25
1954,GE281,Ames10257,Ames 10257,Other,unclassified,0,Whatley,0,0,0,INBRED,0,,,,,
1955,GE293,Ames10258,Ames 10258,Other,unclassified,0,0,0,0,0,INBRED,0,,,,,A554_1
1956,GE311,Ames10259,Ames 10259,Other,unclassified,0,HuffmanVariety,0,0,0,INBRED,0,,,,,A2 
1957,GE317,Ames10260,Ames 10260,Other,unclassified,0, ,0,0,0,INBRED,0,,,,,C23
1958,GE335,Ames10261,Ames 10261,Other,unclassified,0,0,0,0,0,INBRED,0,,,,,A237_1
2193,GT150,Ames10262,Ames 10262,Other,unclassified,0,0,0,0,0,INBRED,0,,,,,A237
2560,L90,Ames10263,Ames 10263,Other,unclassified,0,0,0,0,0,INBRED,0,,,,,B164-886
2557,L605,Ames10264,Ames 10264,Other,unclassified,0,YellowTuxpan,YellowTuxpan,0,0,INBRED,Yellow Tuxpan,,,,,A619_1
2558,L678,Ames10265,Ames 10265,Other,unclassified,0,0,0,0,0,INBRED,Unidentified hybrid,,,,,BSSS 
2559,L690,Ames10266,Ames 10266,Other,unclassified,0,0,0,0,0,INBRED,0,,,,,A632_1
3598,SC15,Ames10267,Ames 10267,Other,unclassified,0,SC213,SC15_1,0,0,INBRED,[(SC213 X L97B) SC213],,,,,A632_2
3603,SC16,Ames10268,Ames 10268,Other,unclassified,0,0,0,0,0,INBRED,0,,,,,
3638,SC44,Ames10269,Ames 10269,Other,unclassified,0,SC246C,Mp462,0,0,INBRED,SC246C X Mp462,,,,,A632_2S
3654,SC84E,Ames10271,Ames 10271,Other,unclassified,0,0,0,0,0,INBRED,Unknown pedigree,,,,,ND302 
3656,SC90,Ames10272,Ames 10272,Other,unclassified,0,FunkG730,0,0,0,INBRED,Funk G730 X Unknown Parent,,,,,A635_1
3594,SC102,Ames10273,Ames 10273,Other,unclassified,0,0,0,0,0,INBRED,Unknown pedigree,,,,,A635_2
3595,SC144,Ames10274,Ames 10274,Other,unclassified,0,0,0,0,0,INBRED,0,,,,,
3608,SC225,Ames10276,Ames 10276,Other,unclassified,0,0,0,0,0,INBRED,0,,,,,W185
3610,SC235,Ames10277,Ames 10277,Other,unclassified,0,0,0,0,0,INBRED,0,,,,,A21
1009,ABPl3,Ames10287,Ames 10287,Other,unclassified,0,0,0,0,0,0,"Widrlechner, M., Ornamental Corn Improvement Project, Inc..",,,,,V3
