,accenumb,taxon,genus,species,spauthor,subtaxa,subtauthor,cropname,avail,instcode,acckey,collnumb,collcode,taxno,accename,acqdate,origcty,collsite,latitude,longitude,elevation,colldate,bredcode,sampstat,ancest,collsrc,donorcode,donornumb,othernumb,duplsite,storage,latdec,longdec,remarks,history,released,Seq,Inbred.Line,Accesion.N,Breeding.program,Pop.structure,Year.Rel,P1A,P2A,eraA,GroupA,TypeA,SourceA,X,X.1,X.2,X.3,Ped_line
679,Ames 29394,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1775508,,NA,311987,1497-2,20080423,,,,,NA,,NA,400,(105.101 x 306.5) x B73Ht/Mo17Ht,40,NA,,:1497-2;:NC1497-2;USA126:Ames 29394;:2466;:05GEM00023,,10,NA,NA,,"DEVELOPED  2007 North Carolina, United States by Goodman, M., North Carolina State University. DONATED  04/23/2008 North Carolina, United States by Goodman, M., North Carolina State University",,593,1497-2,Ames29394,Other,unclassified,0,105.101 x 306.5,B73Ht/Mo17Ht,0,0,0, ,,NA,NA,NA,
681,Ames 29448,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1776107,,NA,311987,1416-1,20080505,,,,,NA,,NA,400,(155 x 105.306) x B73Ht/Mo17Ht,40,NA,,:1416-1;:NC1416-1;USA126:Ames 29448;:05GEM00022,,10,NA,NA,,"DEVELOPED   North Carolina, United States by Goodman, M., North Carolina State University. DONATED  05/05/2008 Iowa, United States by Blanco, M., USDA, ARS",,591,1416-1,Ames29448,NCSU,unclassified,0,155 x 105.306,B73Ht/Mo17Ht,0,0,0,,,NA,NA,NA,
354,Ames 26114,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1606089,,NA,311987,CI 1,20001120,,,,,NA,,NA,400,(6-5 X CI11b) CI11b (6-5 is a Lancaster line),40,NA,,:CI 1;USA126:Ames 26114,,10,NA,NA,,"DONATED  11/20/2000 Missouri, United States by Darrah, L., USDA-ARS",,1332,CI1,Ames26114,Other,unclassified,0, CI1_1,CI11B,0,0,0,0,,NA,NA,NA,G3RZ1
627,Ames 28360,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,N,USA020,1712930,,NA,311987,Mo401,20061113,,,,,NA,,NA,400,(B37 x wx1)(B37^5)sel.,40,NA,,:Mo401;USA126:Ames 28360;:06:927,,10,NA,NA,,"DEVELOPED   Missouri, United States by. DONATED  11/13/2006 Missouri, United States by Elder, J., USDA, ARS",1969,2715,Mo401,Ames28360,Missouri,stiff stalk,0,B37,0,0,0,INBRED,B37 wx conversion,,NA,NA,NA,
141,Ames 22753,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1517108,,NA,311987,H123,19960129,,,,,NA,,NA,500,(B73 X H84) B73,50,NA,,:H123;USA126:Ames 22753;:V941-1;:V941-2;:V941-3,,10,NA,NA,,"DEVELOPED   Indiana, United States by. DONATED  01/29/1996 Missouri, United States by Coe, Jr., E., USDA, ARS",,2261,H123,Ames22753,Indiana,stiff stalk,0,H123_1,B,0,0,INBRED,,,NA,NA,NA,GourdseedDent
541,Ames 27143,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645590,,NA,311987,NC294,20030421,,,,,NA,,NA,400,(B73 x NC250) B73,40,NA,,:NC294;USA126:Ames 27143;:35-bst/96;:Goodman 35 (1996);:6418-Best,USA005,10,NA,NA,,"DEVELOPED PRE 1990 North Carolina, United States by North Carolina Agricultural Research Service. DONATED  04/21/2003 North Carolina, United States by Goodman, M., North Carolina State University",,3071,NC294,Ames27143,North Carolina,unclassified,0,B73,NC252_2,0,0,INBRED,0,,NA,NA,NA,
540,Ames 27142,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645522,,NA,311987,NC292,20030421,,,,,NA,,NA,400,(B73 x NC250) B73 ^3,40,NA,,:NC292;USA126:Ames 27142;:2104-1/01;:25;:6398-bst/89,USA005,10,NA,NA,,"DEVELOPED PRE 1990 North Carolina, United States by North Carolina Agricultural Research Service. DONATED  04/21/2003 North Carolina, United States by Goodman, M., North Carolina State University",,3070,NC292,Ames27142,North Carolina,stiff stalk,0,B73,NC292_1,0,0,INBRED,0,,NA,NA,NA,
558,Ames 27160,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645537,,NA,311987,NC328,20030421,,,,,NA,,NA,400,"(B73 x NC250) x B73^3; shares a common BC3F1 family with NC292, NC326, and NC330.",40,NA,,:NC328;USA126:Ames 27160;:3213-2/00,USA005,10,NA,NA,,"DEVELOPED  1996 North Carolina, United States by North Carolina Agricultural Research Service. DONATED  04/21/2003 North Carolina, United States by Goodman, M., North Carolina State University",1996,3101,NC328,Ames27160,North Carolina,stiff stalk,1996,B73,NC292_1,0,0,INBRED,"(B73 x NC250) x B73^3; shares a common BC3F1 family with NC292, NC326, and NC330",,NA,NA,NA,
557,Ames 27159,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645536,,NA,311987,NC326,20030421,,,,,NA,,NA,400,"(B73 x NC250) x B73^3; shares a common BC3F1 family with NC292, NC328, and NC330.",40,NA,,:NC326;USA126:Ames 27159;:3212-2/00;:316-bst/93;:B73 maydis (2142-1/83);:94% S6 735-1/88,USA005,10,NA,NA,,"DEVELOPED  1996 North Carolina, United States by North Carolina Agricultural Research Service. DONATED  04/21/2003 North Carolina, United States by Goodman, M., North Carolina State University",1996,3100,NC326,Ames27159,North Carolina,unclassified,1996,B73,NC292_1,0,0,INBRED,"(B73 x NC250) x B73^3; shares a common BC3F1 family with NC292, NC328, and NC330",,NA,NA,NA,
88,Ames 19016,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1082250,,NA,311987,Va59,19920227,,,,,NA,,NA,400,(C103 x T82)(K4 x C1032),40,NA,,:Va59;USA126:Ames 19016;:id=47956;:704-2/99;:V984-2;:V984-4;:V984-6,USA005,10,NA,NA,,"DEVELOPED   Virginia, United States by Virginia Polytechnic Institute and State University. DONATED  02/27/1992 North Carolina, United States by Sisco, P., USDA, ARS",,3997,Va59,Ames19016,Other,non-stiff stalk,1,VA59_2,VA59_4,2,5,INBRED,0,,NA,NA,NA,CC5
