Seq,Inbred Line,Accession,Breeding program,Pop structure,Year Rel,P1A,P2A,eraA,GroupA,TypeA,SourceA,,,,,Ped_line
565,89291_1,,,,,ZS206 ,TZMSR,,,,,,,,,EarlyYellowDent
548,88069,PI550918,Other,tropical,1990,ZS206,TZMSR,0,0,0,0,,,,,MinnesotaNo13
1662,CML441,CML441,Mexico,tropical,0,ZM605(C2),0,0,0,INBRED,ZM605C2F1-17-1-B-1-BB,zm=CIMMYT Zimbabwe OPV,,,,Funk90Day
1631,CML386,CML386,Mexico,tropical,0,ZM601,0,0,0,INBRED,(EV7992#/EVPOP43-SRBC31#b#bsr-118-2-2-5-7-B-1-1-B*4,,,,,FunkYellowDent
3941,TZSTRI104,PI639928,Nigeria,tropical,2006,ZdiploBC4,ZdiploBC4,0,0,INBRED,0,,,,,Complexcross
3942,TZSTRI105,PI639929,Nigeria,tropical,2006,ZdiploBC4,ZdiploBC4,0,0,INBRED,0,,,,,NorthwesternDent 
3943,TZSTRI106,PI639930,Nigeria,tropical,2006,ZdiploBC4,ZdiploBC4,0,0,INBRED,0,,,,,64
3944,TZSTRI107,PI639931,Nigeria,tropical,2006,ZdiploBC4,ZdiploBC4,0,0,INBRED,0,,,,,SilverKing
3945,TZSTRI108,PI639932,Nigeria,tropical,2006,ZdiploBC4,ZdiploBC4,0,0,INBRED,0,,,,,4_29
2821,MR23ZapaloteChicoS6,Ames30536,Other,landraces,0,ZapaloteChico,ZapaloteChico,0,0,0,0,,,,,A188_1
2557,L605,Ames10264,Other,unclassified,0,YellowTuxpan,YellowTuxpan,0,0,INBRED,Yellow Tuxpan,,,,,
3808,Tx602,,,,,YellowTuxpan,YellowTuxpan,,,INBRED,,,,,,GoldenKing(McArthur)
1025,Tx601,Ames22763,Other,unclassified,0,YellowTuxpan,0,0,0,INBRED, ,,,,,US153(Iowa)
1413,CI15,,,,,YellowThompsonProlific,,,,INBRED,,,,,,A48
3804,Tx325,Tx325,Other,unclassified,0,YellowSurcropper,YellowSurcropper,0,0,INBRED,0,,,,,ReidYellowDent
3805,Tx61M,Ames23923,Other,unclassified,1957,YellowSurcropper,YellowSurcropper,0,0,INBRED,0,,,,,A3G-3-3-1-313)-01
3807,Tx303,Ames19327,Other,unclassified,1992,YellowSurcropper,YellowSurcropper,0,0,INBRED,0,,,,,A9
3534,R-28-2,PI340863,Popcorn,unclassified,0,YellowPearl,YellowPearl,0,0,INBRED,0,,,,,A26
1200,B-28,PI340860,Iowa,unclassified,0,YellowPearl,0,0,0,INBRED,'Yellow Pearl' crossed to an unnamed variety.,,,,,A50
1781,Mp448,,,,,YellowJellicorse,Unknown,0,0,INBRED,,,,,,A109
1782,Mp424,,,,,YellowJellicorse,Unknown,0,0,INBRED,,,,,,A78
4039,WR3TMS,NSL30072,Wisconsin,unclassified,1964,WR3,WR3,0,0,INBRED,Texas Male Sterile version of WR3,,,,,WisconsinNo25
4013,W32,NSL30071,Wisconsin,unclassified,0,WR3,AR9,0,0,INBRED,0,,,,,
257,OH51,,,unclassified,0,WoosterClarage,WoosterClarage,0,0,INBRED,0,,,,,A554_1
3282,Oh56,,,,,WoosterClarage,WoosterClarage,,,Open pollinated Population,,,,,,A2 
,OH51,,,,,WoosterClarage,WoosterClarage,,,INBRED,,,,,,C23
