,Pedigree information,,,,,,Maturity indicators,,,,,,,,Disease resistance (1-5),,,,,,,,,,,,,,Insect resistance,,,,,Herbicide,Plant characteristics,,,,,,,,,,,,,Ear characteristics,,,,,,Grain characteristics,,,,,,,Combining ability for yield,,,,,,,Descriptive Remarks,,
CML No.,Line code,Source germplasm,Original Pedigree,Curated Pedigree,OldStandardPedigree,Adaptation / Program,Maturity,Male GDD (10/30) d°,Female GDD (10/30) d°,Male GDD (8/32/44) d°,Male GDD (7/26) d°,Female GDD (7/26) d°,Days to anthesis (d),Days to silking (d),Rust,P. sorghi , H.maydis ,E. turc,DMR,GLS,Phaesophaeria leaf spot ,Head smut,Gloeocercospora sorghi,Phyollacora,MSV,MDMV & CSS ,SCMV, Ear rot,"FAW
(1-9)","SCB
(1-9)","SWCB
(1-9)",LGB (1-5),Weevil (1-5),Imidazolinone,Plant height (cm),Plant height,"Ear height
(cm)",Ear height,Ear position,"Standability
 (1-5)","Plant vigor
 (1-5)","Plant aspect
(1-5)"," Tassel size
(1-5)","Pollen prod
 (1-5)",Stem color,Anther color,Silk color,"Husk cover
 (1-5)","Ear aspect
(1-5)","Ear size
(1-5)",Grain rows,"Seed Yield
 (1-5)",Seed Yield (t/ha), Grain  Color, Grain  Texture,QPM,% protein in grain,% tryptophan in protein,Endsperm hardn (1-5),Quality index,GCA (t/ha),"GCA no stress
 (1-5)","GCA Drought
 (1-5)","GCA Low N
 (1-5)",GCA Acid soil (1-5),Heteroric Group,Specific combinaing ability with,Stress tolerance and resistance,Year of release,
1,CL02101,P21,Pob21C5HC57-1-2-B-##,P21-C5-FS57-1-2-B,P21C5F57-1-2-B-##,Lowland,Late,,1090,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,Tall,,Avg,,1.5,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,, ,,"Lodging, ear rot",1991,
2,CL02102,P21,Pob21C5HC78-3-4-B-#-B,P21-C5-FS78-3-4-B,P21C5F78-3-4-B-#-B,Lowland,Late,,1125,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,3.0,,,, ,,,1991,
3,CL02103,P21,Pob21C5HC84-2-1-B-3-B,P21-C5-FS84-2-1-B-3-B,P21C5F84-2-1-B-3-B,Lowland,Interm,,1028,,,,,,1.3,,1.6,,,,,,,,,,,1.9,,,,,,,,Avg,,Low,,1.5,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,"Rust, maydis",1991,
4,CL02104,P21,Pob21C5HC109-3-1-5-4-B-1-#-BB-1-B,P21-C5-FS109-3-1-5-4-B-1-#-B-B-1-B,P21C5F109-3-1-5-4-B-1-#-BB-1-B,Lowland,Interm,,922,,,,,,2.0,,2.5,,,,,,,,,,,2.1,,,,,,,,Tall,,Avg,,1.5,,,,,,,,,,,,,,W,D,No,,,,,,3.0,,,, ,,Lodging,1991,
5,CL02105,P21,Pob21C5HC133-1-B-##-B,P21-C5-FS133-1-B,P21C5F133-1-B-##-B,Lowland,Late,,1107,,,,,,,,2.1,,,,,,,,,,,2.0,,,,,,,,Avg,,Low,,1.5,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Lodging,1991,
6,CL02106,P21,Pob21C5HC218-2-3-B-##-6-1-1-BB,P21-C5-FS218-2-3-B-#-#-6-1-1-B,P21C5F218-2-3-B-##-6-1-1-BB,Lowland,Late,,1070,,,,,,2.4,,2.1,,,,,,,,,,,1.9,,,,,,,,Tall,,Avg,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,,1991,
7,CL02107,P21,Pob21C5HC218-2-3-B-##-9-2-1-BB,P21-C5-FS218-2-3-B-#-#-9-2-1-B,P21C5F218-2-3-B-##-9-2-1-BB,Lowland,Late,,1075,,,,,,2.5,,2.5,,,,,,,,,,,2.5,,,,,,,,Tall,,Avg,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,,1991,
8,CL02108,P21,Pob21C5HC218-2-3-B-####,P21-C5-FS218-2-3-B,P21C5F218-2-3-B-####,Lowland,Late,,1094,,,,,,2.1,,1.9,,,,,,,,,,,1.8,,,,,,,,Tall,,Avg,,1.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Lodging,1991,
9,CL02109,P21,Pob21C5HC219-3-1-B-###,P21-C5-FS219-3-1-B,P21C5F219-3-1-B-###,Lowland,Late,,1126,,,,,,1.5,,2.2,,,,,,,,,,,1.9,,,,,,,,Avg,,Low,,1.0,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,, ,,Lodging,1991,
