IID,1,2,3,4,5,6,7,8,9,10
11430,Q381(0.9338),207(0.9328),PHN11(0.9317),PHK42(0.9309),IBB15(0.9305),L139(0.9302),IBC2(0.9288),L135(0.9284),83IBI3(0.9274),PHH93(0.9272)
12E,CI1(0.8908),B73(0.8821),AusTRCF306304(0.879),B73Htrhm(0.879),AusTRCF306302(0.8787),NC326(0.8785),NC280(0.8785),F42(0.8784),58613B73MethBc5S4(0.8783),AusTRCF306303(0.8783)
13B-587-68A,STRAIN11D-586-68A(0.9046),14H-588-68B(0.9026),Il14H(0.9022),676A-348-68B(0.8997),STRAIN18B-5-69(0.8985),IaCG4189(0.8976),Ia453(0.8975),A648(0.8969),EP83(0.8967),277(0.8966)
1416-1,NC348(0.8819),NC298(0.8807),Tx601(0.8774),Hi65(0.8727),A6(0.8698),MP717(0.8655),1497-2(0.8629),NC358(0.8609),NC300(0.8604),Mp715(0.8602)
1497-2,NC300(0.8877),NC340(0.8852),A6(0.8798),NC296A(0.8771),NC346(0.8757),NC296(0.8752),NC350(0.8742),NC352(0.8727),NC336(0.8725),NC302(0.8722)
14H-588-68B,Il14H(0.9982),IaEv3004(0.9622),STRAINT35-388-68A(0.9426),STRAINT36101T-394-68(0.9396),Ill101Q(0.9362),NJ159(0.9353),STRAINT32-397-68B(0.9315),STRAINT20-2-68B(0.931),21-396-68B(0.928),STRAINT33-399-68B(0.9275)
1538,OS602(0.9345),CM105(0.9284),207(0.9279),CM169(0.9275),Q381(0.9269),CM174(0.9251),IBB15(0.9243),CM99(0.9232),L135(0.9217),PHP55(0.9206)
176,226(0.944),T8302INBRED(0.9178),C42(0.9152),M23(0.9141),C12-1(0.9132),MS91(0.9121),Me1(0.9101),829(0.9092),P51wx(0.9062),Me244Wb(0.9061)
197A-381-68A,Fe(0.9063),Il767b(0.9035),M6411(0.9003),M6421(0.8962),M6415(0.8959),A260(0.8878),27A-317-68C(0.8855),STRAIN18B-5-69(0.8848),B21(0.8837),IaCG4189(0.8837)
207,Q381(0.9955),IBB15(0.9913),L135(0.9877),PHG29(0.9813),PHP02(0.9752),PHN11(0.9746),PHK42(0.9741),83IBI3(0.9737),L127(0.9724),IBC2(0.9723)
21-396-68B,STRAINT36101T-394-68(0.9775),STRAINT32-397-68B(0.9707),STRAINT24-395-68B(0.9656),STRAINT33-399-68B(0.965),STRAINT20-2-68B(0.9637),STRAINT35-388-68A(0.9598),Il101T(0.9334),Il101(0.9331),14H-588-68B(0.928),Il14H(0.9278)
226,176(0.944),T8302INBRED(0.9212),C12-1(0.9132),C42(0.9082),MS91(0.908),Me1(0.9074),M23(0.9072),829(0.9063),W7151(0.9057),789(0.9046)
2369,B73(0.9664),B73Htrhm(0.9654),F42(0.9645),AusTRCF305839(0.9634),GEMS-0101(0.9631),58614B73MethBc5S4(0.963),58613B73MethBc5S4(0.9627),DJ7(0.9625),NC372(0.9623),NC280(0.9616)
245,A648(0.8883),P39M96(0.8881),81-1(0.888),13B-587-68A(0.8867),P39A(0.8866),IP39(0.8856),909(0.8835),C31(0.8835),883(0.8835),14H-588-68B(0.8823)
277,C38(0.9513),C31(0.9513),IP39(0.9511),P39M96(0.9465),P39A(0.945),A648(0.9437),P39(0.9427),ND259(0.9404),S17(0.9402),C30(0.9393)
