references,paper,date,Inbred line,Accesion N,N GBS samples,N Plants,Avg. IBS,% missing,Breeding program,Pop structure,Year,Registration?,Source,,
"Accession was developed. PRE 14-May-1956. South Dakota, United States.South Dakota State University.",y no paper ,1956,42,PI233312,1,1,NA,0.47,Other,sweet corn,,,,,
"Accession was donated. 12-Apr-2002. Indiana, United States. Foster, W., Purdue University.",n,2002,66,Ames26770,1,1,NA,0.56,Other,unclassified,,,,,
"Accession was donated. Apr-1964. Illinois, United States. University of Illinois.",n,1964,90,NSL30903,1,1,NA,0.52,Other,unclassified,,,,,
"Accession was developed. PRE 14-May-1956. South Dakota, United States.South Dakota State University.",y no paper ,1956,176,PI233313,1,1,NA,0.67,Other,sweet corn,,,,,
"Accession was donated. Jul-1983. Iowa, United States. Pioneer Hi-Bred International, Inc..",n,1983,207,PI601005,2,2,0.996,0.50,ExPVP,non-stiff stalk,,,,,
"Accession was developed. PRE 14-May-1956. South Dakota, United States.South Dakota State University.",y no paper ,1956,226,PI233314,6,1,0.994,0.32,Other,sweet corn,,,,,
"Accession was donated. 1962. Indiana, United States.Purdue University.",n,1962,245,NSL8579,1,1,NA,0.60,Other,sweet corn,,,,,
"Accession was developed. PRE 14-May-1956. South Dakota, United States.South Dakota State University.",y no paper ,1956,277,PI233315,1,1,NA,0.58,Other,sweet corn,,,,,
"Accession was developed. PRE 14-May-1956. South Dakota, United States.South Dakota State University.",y no paper ,1956,469,PI233316,1,1,NA,0.60,Other,sweet corn,,,,,
"Accession was developed. PRE 14-May-1956. South Dakota, United States.South Dakota State University.",y no paper ,1956,592,PI233317,1,1,NA,0.62,Other,sweet corn,,,,,
"Accession was donated. Jan-1988. Minnesota, United States. Northrup, King & Company.",no,1988,740,PI601489,1,1,NA,0.61,ExPVP,unclassified,,,,,
"Accession was donated. Feb-1987. Minnesota, United States. Northrup, King & Company.",no,1987,764,PI601374,1,1,NA,0.59,ExPVP,unclassified,,,,,
"Accession was donated. Feb-1987. Minnesota, United States. Northrup, King & Company.",no,1987,778,PI601375,1,1,NA,0.57,ExPVP,unclassified,,,,,
"Accession was donated. Feb-1987. Minnesota, United States. Northrup, King & Company.",no,1987,779,PI601376,2,2,0.968,0.53,ExPVP,unclassified,,,,,
"Accession was donated. Jan-1988. Minnesota, United States. Northrup, King & Company.",no,1988,787,PI601490,2,2,0.995,0.48,ExPVP,unclassified,,,,,
"Accession was developed. PRE 14-May-1956. South Dakota, United States.South Dakota State University.",y no paper ,1956,789,PI233318,1,1,NA,0.57,Other,sweet corn,,,,,
"Accession was donated. Jan-1988. Minnesota, United States. Northrup, King & Company.",no,1988,790,PI601491,1,1,NA,0.59,ExPVP,unclassified,,,,,
"Accession was developed. PRE 1989. Minnesota, United States. Northrup, King & Company.",y no paper,1989,792,NSL243016,1,1,NA,0.40,Other,unclassified,,,,,
"Accession was donated. Jan-1988. Minnesota, United States. Northrup, King & Company.",no,1988,793,PI601492,1,1,NA,0.56,ExPVP,unclassified,,,,,
"Accession was donated. Feb-1987. Minnesota, United States. Northrup, King & Company.",no,1987,794,PI601377,1,1,NA,0.47,ExPVP,unclassified,,,,,
